search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
DRD2	DRD2	Definite	DRD2	QUETIAPINE FUMARATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	AMPHETAMINE	binder	DrugBank|PharmGKB	1532675
DRD2	DRD2	Definite	DRD2	NORTRIPTYLINE	antagonist	DrugBank	6121969
DRD2	DRD2	Definite	DRD2	MOLINDONE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	9342550|9577836|11752352|9353417|17016423
DRD2	DRD2	Definite	DRD2	BROMOCRIPTINE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	18691132|11444429|10641988|10721819|12010185|11752352|12753422|10626749
DRD2	DRD2	Definite	DRD2	TRIFLUOPERAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	METOCLOPRAMIDE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	21585331|8230103|15835479|8981558|11752352|9876882|8730709|7745844
DRD2	DRD2	Definite	DRD2	LUMATEPERONE	antagonist|partial agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|GuideToPharmacology	30596390
DRD2	DRD2	Definite	DRD2	ZIPRASIDONE MESYLATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	FLUSPIRILENE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	8935801|11752352|17139284|11842444|17016423
DRD2	DRD2	Definite	DRD2	CHLORPROMAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	PROMAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	REMOXIPRIDE	antagonist	DrugBank|TdgClinicalTrial|TEND	8665533|11873706|11752352
DRD2	DRD2	Definite	DRD2	NAFADOTRIDE	antagonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	RACLOPRIDE	antagonist	DrugBank|GuideToPharmacology	15010698
DRD2	DRD2	Definite	DRD2	TRIMIPRAMINE	other/unknown	DrugBank	8863001
DRD2	DRD2	Definite	DRD2	ETOPERIDONE	antagonist	DrugBank	7855217
DRD2	DRD2	Definite	DRD2	JNJ-37822681	antagonist	DrugBank|TdgClinicalTrial|TTD	22490380
DRD2	DRD2	Definite	DRD2	ESCITALOPRAM	inhibitor	DrugBank	24424469
DRD2	DRD2	Definite	DRD2	SARIZOTAN	partial agonist	DrugBank|TTD	14767715
DRD2	DRD2	Definite	DRD2	PAROXETINE	other/unknown	DrugBank	29274752|23338224
DRD2	DRD2	Definite	DRD2	TETRAHYDROPALMATINE	antagonist	DrugBank	17361394
DRD2	DRD2	Definite	DRD2	PIPAMPERONE	antagonist	DrugBank	8935801
DRD2	DRD2	Definite	DRD2	QUINAGOLIDE	agonist	DrugBank|TTD	""
DRD2	DRD2	Definite	DRD2	MELPERONE	antagonist	DrugBank	""
DRD2	DRD2	Definite	DRD2	CINNARIZINE	other/unknown	DrugBank	7714010|9014432
DRD2	DRD2	Definite	DRD2	LAMOTRIGINE	agonist|inhibitor	DrugBank	8813577|22306746
DRD2	DRD2	Definite	DRD2	DIHYDROERGOCRYPTINE	agonist	DrugBank	14523624
DRD2	DRD2	Definite	DRD2	TALIPEXOLE	""	TTD	""
DRD2	DRD2	Definite	DRD2	BICIFADINE	""	DrugBank	17325229
DRD2	DRD2	Definite	DRD2	DAPIPRAZOLE	""	TTD	""
DRD2	DRD2	Definite	DRD2	COCAINE	""	PharmGKB	""
DRD2	DRD2	Definite	DRD2	BROMPERIDOL	""	PharmGKB	15694263|28673279|11505224|17105675|18926547|9858029|15830237|16513877|20194480|9918131
DRD2	DRD2	Definite	DRD2	PIMAVANSERIN	""	DrugBank	""
DRD2	DRD2	Definite	DRD2	METHYLDOPA	""	TTD	""
DRD2	DRD2	Definite	DRD2	METHAMPHETAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	AMITIFADINE	""	DrugBank	""
DRD2	DRD2	Definite	DRD2	BEVANTOLOL	""	TTD	""
DRD2	DRD2	Definite	DRD2	5-OH-DPAT	""	DTC	3783613
DRD2	DRD2	Definite	DRD2	ZICRONAPINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ANIRACETAM	""	DrugBank|TTD	11412837
DRD2	DRD2	Definite	DRD2	BUPROPION	""	PharmGKB	15184239|19603545|15492764|18180754|15286066|10823405|18855532|18926547|16123753|18781856|12587665|11329406|1839129|19179847|19944883|1969501|18086475|10395223|18781857|15077009|17989061|15830237|17767146|18354387|9672901|19396436|15146457|19273465|19853839|10862524|19373123
DRD2	DRD2	Definite	DRD2	APLINDORE	""	TdgClinicalTrial	""
DRD2	DRD2	Definite	DRD2	PSEUDOEPHEDRINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ETILEVODOPA	""	TdgClinicalTrial	""
DRD2	DRD2	Definite	DRD2	DEXPRAMIPEXOLE	""	TdgClinicalTrial	""
DRD2	DRD2	Definite	DRD2	DIHYDREXIDINE	""	DTC	19744859
DRD2	DRD2	Definite	DRD2	DIACETYLMORPHINE	""	PharmGKB	""
DRD2	DRD2	Definite	DRD2	SUMATRIPTAN	""	PharmGKB	25096645
DRD2	DRD2	Definite	DRD2	ALCOHOL	""	NCI|PharmGKB	1839129|12749054|1969501|1979357|27447243|10490697|8033754|17989061|22798433|11054774|29236941
DRD2	DRD2	Definite	DRD2	DIHYDROERGOTAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	RISPERDAL	""	TdgClinicalTrial	""
DRD2	DRD2	Definite	DRD2	PIPERACETAZINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ONC-201	""	TTD	""
DRD2	DRD2	Definite	DRD2	METHADONE	""	PharmGKB	21902500|23651024|18687376|19373123|25556837
DRD2	DRD2	Definite	DRD2	STEPHOLIDINE	""	DTC	19744859
DRD2	DRD2	Definite	DRD2	UMESPIRONE	""	TTD	""
DRD2	DRD2	Definite	DRD2	RASAGILINE	""	PharmGKB	27190009
DRD2	DRD2	Definite	DRD2	PERAZINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ROLICYCLIDINE	""	DrugBank	19391150
DRD2	DRD2	Definite	DRD2	NICOTINE	""	PharmGKB	16123753|15203796
DRD2	DRD2	Definite	DRD2	BL-1020	""	DrugBank|TTD	""
DRD2	DRD2	Definite	DRD2	DOCARPAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	LITHIUM	""	NCI	8787189
DRD2	DRD2	Definite	DRD2	BRASOFENSINE	""	DrugBank	17908924
DRD2	DRD2	Definite	DRD2	CARMOXIROLE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ERGONOVINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ABAPERIDONE	""	TTD	""
DRD2	DRD2	Definite	DRD2	E-FLUPENTIXOL	""	TdgClinicalTrial|TEND	""
DRD2	DRD2	Definite	DRD2	MELEVODOPA	""	TdgClinicalTrial	""
DRD2	DRD2	Definite	DRD2	MORPHINE	""	NCI	11943831
DRD2	DRD2	Definite	DRD2	MEPHENTERMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	METHYLPHENIDATE	""	PharmGKB	26810137
DRD2	DRD2	Definite	DRD2	PHENTOLAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	PHENOXYBENZAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	TOLAZOLINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	OCAPERIDONE	""	DrugBank|TTD	10592235
DRD2	DRD2	Definite	DRD2	PHENYLTOLOXAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	DENOPAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	DISULFIRAM	""	PharmGKB	23635803
DRD2	DRD2	Definite	DRD2	DOPEXAMINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	NAPHAZOLINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	NEMONAPRIDE	""	PharmGKB|TTD	15184239|19603545|15694263|28673279|15492764|18180754|11505224|17105675|15286066|10823405|18855532|18926547|18781856|12587665|11329406|1839129|19179847|19944883|1969501|18086475|10395223|18781857|15077009|17989061|9858029|15830237|17767146|16513877|18354387|9672901|19396436|15146457|19273465|19853839|20194480|10862524|9918131|19373123
DRD2	DRD2	Definite	DRD2	PHENYLEPHRINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	ITOPRIDE	""	DrugBank|TdgClinicalTrial	16495395|17300287
DRD2	DRD2	Definite	DRD2	EPHEDRINE	""	TTD	""
DRD2	DRD2	Definite	DRD2	METARAMINOL	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	ZIPRASIDONE	antagonist	DrugBank	17848919
ADRA2C	ADRA2C	Definite	ADRA2C	PERGOLIDE	agonist	GuideToPharmacology	18691132|10641988
ADRA2C	ADRA2C	Definite	ADRA2C	RAUWOLSCINE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	YOHIMBINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|PharmGKB	11226402|16176444|12591093|12438517|12110610|10611634
ADRA2C	ADRA2C	Definite	ADRA2C	NOREPINEPHRINE	agonist	DrugBank|TdgClinicalTrial|TEND|PharmGKB	18064417|1654268|1980236|17410123|17139284|17016423|8590979
ADRA2C	ADRA2C	Definite	ADRA2C	DEXMEDETOMIDINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	ASENAPINE	antagonist	DrugBank|TdgClinicalTrial	18308814
ADRA2C	ADRA2C	Definite	ADRA2C	TIZANIDINE	agonist	TdgClinicalTrial	8930173
ADRA2C	ADRA2C	Definite	ADRA2C	NOREPINEPHRINE BITARTRATE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	QUETIAPINE	antagonist	DrugBank	28855875|17848919|11132243
ADRA2C	ADRA2C	Definite	ADRA2C	CHLORPROMAZINE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	XYLOMETAZOLINE	agonist	DrugBank|TTD	20030735
ADRA2C	ADRA2C	Definite	ADRA2C	EPINEPHRINE	agonist	ChemblInteractions|PharmGKB	1346768
ADRA2C	ADRA2C	Definite	ADRA2C	RAUWOLFIA SERPENTINA	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	ILOPERIDONE	antagonist	DrugBank|TdgClinicalTrial	""
ADRA2C	ADRA2C	Definite	ADRA2C	OXYMETAZOLINE	agonist	DrugBank|GuideToPharmacology	20030735
ADRA2C	ADRA2C	Definite	ADRA2C	HYDROXYAMPHETAMINE HYDROBROMIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	NAPHAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	SPIROXATRINE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	CABERGOLINE	antagonist	DrugBank|GuideToPharmacology	12388667|18691132|10641988
ADRA2C	ADRA2C	Definite	ADRA2C	METHAMPHETAMINE	agonist	DrugBank|TdgClinicalTrial	9551769|15955613
ADRA2C	ADRA2C	Definite	ADRA2C	PALIPERIDONE	agonist	DrugBank	11132243
ADRA2C	ADRA2C	Definite	ADRA2C	CARVEDILOL	antagonist	DrugBank	15306222
ADRA2C	ADRA2C	Definite	ADRA2C	TIZANIDINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	CLONIDINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	TOLAZOLINE	binder|antagonist	DrugBank|GuideToPharmacology	9089664
ADRA2C	ADRA2C	Definite	ADRA2C	RISPERIDONE	agonist|antagonist	DrugBank	11132243|25943458|15907153
ADRA2C	ADRA2C	Definite	ADRA2C	MIRTAZAPINE	binder|antagonist	ChemblInteractions|GuideToPharmacology	15771415|3419539
ADRA2C	ADRA2C	Definite	ADRA2C	LOXAPINE	binder	DrugBank	""
ADRA2C	ADRA2C	Definite	ADRA2C	APRACLONIDINE	agonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	APOMORPHINE	antagonist|agonist	DrugBank|GuideToPharmacology	18691132
ADRA2C	ADRA2C	Definite	ADRA2C	ALSEROXYLON	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	GUANFACINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	CLONIDINE	agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|GuideToPharmacology|PharmGKB	20833658|11082457
ADRA2C	ADRA2C	Definite	ADRA2C	LEVOMEPROMAZINE	antagonist	DrugBank	2870716|6149771|15701205
ADRA2C	ADRA2C	Definite	ADRA2C	XYLAZINE	agonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	TERGURIDE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	LURASIDONE	antagonist	DrugBank|TdgClinicalTrial|GuideToPharmacology	23545936
ADRA2C	ADRA2C	Definite	ADRA2C	METHYLDOPATE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	BROMOCRIPTINE	antagonist|agonist	DrugBank|GuideToPharmacology	18691132|10641988|20138024
ADRA2C	ADRA2C	Definite	ADRA2C	EPHEDRA	agonist	DrugBank	14570629|12954796|15955613
ADRA2C	ADRA2C	Definite	ADRA2C	PHENOXYBENZAMINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	OXYMETAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	PHENTOLAMINE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	MEPHENTERMINE SULFATE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	METHYLDOPA	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	BRIMONIDINE	agonist	DrugBank|TEND|GuideToPharmacology|PharmGKB|TTD	11606316|12670699|14610637|16757535
ADRA2C	ADRA2C	Definite	ADRA2C	MIANSERIN	antagonist	DrugBank	""
ADRA2C	ADRA2C	Definite	ADRA2C	LEVONORDEFRIN	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	CHEMBL362051	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	DROXIDOPA	agonist	DrugBank|ChemblInteractions	21173850|18680204|8590979
ADRA2C	ADRA2C	Definite	ADRA2C	GUANFACINE	agonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	OLANZAPINE	antagonist	TdgClinicalTrial	17848919
ADRA2C	ADRA2C	Definite	ADRA2C	PRAZOSIN	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	ARIPIPRAZOLE	antagonist|other/unknown	DrugBank	17848919|26346901
ADRA2C	ADRA2C	Definite	ADRA2C	DEXMEDETOMIDINE	agonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	FADOLMIDINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	LABETALOL HYDROCHLORIDE	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	BRIMONIDINE TARTRATE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	GUANABENZ ACETATE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	GUANABENZ	agonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	ROXINDOLE	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	FENOLDOPAM	antagonist	DrugBank|TEND	7670737|17139284|17016423
ADRA2C	ADRA2C	Definite	ADRA2C	ESMIRTAZAPINE MALEATE	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	ERGOLOID MESYLATES	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	PHENTOLAMINE MESYLATE	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	PIRIBEDIL	antagonist	GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	PHENOXYBENZAMINE	antagonist	DrugBank	11395517
ADRA2C	ADRA2C	Definite	ADRA2C	CLOZAPINE	antagonist	DrugBank	17848919
ADRA2C	ADRA2C	Definite	ADRA2C	APRACLONIDINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	LISURIDE	antagonist|other/unknown	DrugBank|GuideToPharmacology	18691132
ADRA2C	ADRA2C	Definite	ADRA2C	BREXPIPRAZOLE	antagonist	DrugBank	25225185
ADRA2C	ADRA2C	Definite	ADRA2C	AGMATINE	agonist	DrugBank	7906055
ADRA2C	ADRA2C	Definite	ADRA2C	EPINEPHRINE BITARTRATE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	TETRAHYDROZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	TOLAZOLINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	LOFEXIDINE	agonist	TdgClinicalTrial|TEND|GuideToPharmacology	""
ADRA2C	ADRA2C	Definite	ADRA2C	DIPIVEFRIN HYDROCHLORIDE	agonist	ChemblInteractions	""
ADRA2C	ADRA2C	Definite	ADRA2C	DRONEDARONE	antagonist	DrugBank	17389667|23997577
ADRA2C	ADRA2C	Definite	ADRA2C	PIZOTYLINE	antagonist	DrugBank	2045831
ADRA2C	ADRA2C	Definite	ADRA2C	CELIPROLOL	antagonist	DrugBank	28742547
ADRA2C	ADRA2C	Definite	ADRA2C	RACEPINEPHRINE	agonist	DrugBank	""
ADRA2C	ADRA2C	Definite	ADRA2C	TETRAHYDROZOLINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	AMOSULALOL	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	FIPAMEZOLE	""	TdgClinicalTrial	""
ADRA2C	ADRA2C	Definite	ADRA2C	AMEZINIUM	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	BETHANIDINE	""	TdgClinicalTrial|TEND	""
ADRA2C	ADRA2C	Definite	ADRA2C	HALOPERIDOL	""	DrugBank	12629531
ADRA2C	ADRA2C	Definite	ADRA2C	DOPAMINE	""	PharmGKB	""
ADRA2C	ADRA2C	Definite	ADRA2C	BUCINDOLOL	""	PharmGKB	23071495
ADRA2C	ADRA2C	Definite	ADRA2C	TETRASUL	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	DEBRISOQUIN	""	TdgClinicalTrial|TEND	""
ADRA2C	ADRA2C	Definite	ADRA2C	CHEMBL609728	""	DrugBank	""
ADRA2C	ADRA2C	Definite	ADRA2C	PROPYLHEXEDRINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	OCAPERIDONE	""	DrugBank	""
ADRA2C	ADRA2C	Definite	ADRA2C	SENREBOTASE	""	TdgClinicalTrial	""
ADRA2C	ADRA2C	Definite	ADRA2C	DIHYDROERGOCRISTINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	MEDETOMIDINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	MOXONIDINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	RILMENIDINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	ORM-12741	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	ISOPROTERENOL	""	PharmGKB	""
ADRA2C	ADRA2C	Definite	ADRA2C	FADOLMIDINE	""	TTD	""
ADRA2C	ADRA2C	Definite	ADRA2C	ERGOTAMINE	""	DrugBank	23707349
ADRA2C	ADRA2C	Definite	ADRA2C	CYCLOBENZAPRINE	""	TTD	""
GAD1	GAD1	Definite	GAD1	PYRIDOXAL PHOSPHATE	cofactor	DrugBank	12535612|15686475|8499653|10978228|15381280|16075246|12067524|11488610
GAD1	GAD1	Definite	GAD1	GLUTAMIC ACID	""	DrugBank	17562689|16769115|17600364|16643338|17445798
GAD1	GAD1	Definite	GAD1	METHADONE	""	PharmGKB	31866536
CXCL10	CXCL10	Definite	CXCL10	NI-0801	inhibitor	ChemblInteractions|TTD	""
CXCL10	CXCL10	Definite	CXCL10	REGRAMOSTIM	""	NCI	11591765
CXCL10	CXCL10	Definite	CXCL10	METHYLPREDNISOLONE	""	NCI	17220550
CXCL10	CXCL10	Definite	CXCL10	ANTIBIOTIC	""	NCI	10634213
CXCL10	CXCL10	Definite	CXCL10	RITONAVIR	""	NCI	11141242
CXCL10	CXCL10	Definite	CXCL10	STAVUDINE	""	NCI	11141242
CXCL10	CXCL10	Definite	CXCL10	ATORVASTATIN	""	NCI	10559511
CXCL10	CXCL10	Definite	CXCL10	ATROPINE	""	NCI	15315164
CXCL10	CXCL10	Definite	CXCL10	TESTOSTERONE	""	NCI	9681518
CXCL10	CXCL10	Definite	CXCL10	OXALIPLATIN	""	NCI	16101140
CXCL10	CXCL10	Definite	CXCL10	ELDELUMAB	""	DrugBank|TdgClinicalTrial|TTD	""
CXCL10	CXCL10	Definite	CXCL10	ZIDOVUDINE	""	NCI	11141242
CXCL10	CXCL10	Definite	CXCL10	CLOVE OIL	""	DrugBank	28407719
SNAP25	SNAP25	Definite	SNAP25	INCOBOTULINUMTOXINA	inhibitor	ChemblInteractions	""
SNAP25	SNAP25	Definite	SNAP25	ONABOTULINUMTOXINA	inhibitor	ChemblInteractions	""
SNAP25	SNAP25	Definite	SNAP25	ABOBOTULINUMTOXINA	inhibitor	ChemblInteractions	""
SNAP25	SNAP25	Definite	SNAP25	DIAZOXIDE	""	NCI	15752769
IL4I1	IL4I1	Definite	IL4I1	ANTHRANILIC ACID	""	DrugBank	10592235|17139284|17016423
IL4I1	IL4I1	Definite	IL4I1	FLAVIN ADENIN DINUCLEOTIDE	""	DrugBank	10592235|17139284|17016423
CXCL13	CXCL13	Definite	CXCL13	RITUXIMAB	""	PharmGKB	26384320
IFNG	IFNG	Definite	IFNG	FONTOLIZUMAB	inhibitor	DrugBank|TdgClinicalTrial|ChemblInteractions	""
IFNG	IFNG	Definite	IFNG	EMAPALUMAB	modulator	DrugBank|TTD	29300693
IFNG	IFNG	Definite	IFNG	MELATONIN	""	NCI	7722866
IFNG	IFNG	Definite	IFNG	CISPLATIN	""	NCI	8044830
IFNG	IFNG	Definite	IFNG	IBUPROFEN	""	NCI	8931897
IFNG	IFNG	Definite	IFNG	THEOPHYLLINE	""	NCI	11918854
IFNG	IFNG	Definite	IFNG	PEFLOXACIN	""	NCI	8673851
IFNG	IFNG	Definite	IFNG	TRASTUZUMAB	""	NCI	15297404
IFNG	IFNG	Definite	IFNG	SURAMIN	""	NCI	1899122
IFNG	IFNG	Definite	IFNG	PREDNISONE	""	NCI	10784002
IFNG	IFNG	Definite	IFNG	GLUCOSAMINE	""	DrugBank	16155294|16431966|16709188|17238806
IFNG	IFNG	Definite	IFNG	OLSALAZINE	""	DrugBank	17034586|9797390
IFNG	IFNG	Definite	IFNG	BLEOMYCIN	""	NCI	8556994
IFNG	IFNG	Definite	IFNG	AMIKACIN	""	NCI	8913387
IFNG	IFNG	Definite	IFNG	CYCLOPHOSPHAMIDE	""	NCI	10823419
IFNG	IFNG	Definite	IFNG	METHYLPREDNISOLONE	""	NCI	9396353
IFNG	IFNG	Definite	IFNG	MELPHALAN	""	NCI	9864423
IFNG	IFNG	Definite	IFNG	THROMBIN	""	NCI	9731747
IFNG	IFNG	Definite	IFNG	AMITRIPTYLINE	""	NCI	10996474
GZMB	GZMB	Definite	GZMB	HEXACHLOROPHENE	""	DTC	19633659
